cod_orgao_julg;Atuacao_Vara
6133;Geral
6173;Geral
6178;Geral
6185;Geral
6189;Geral
6191;Geral
6195;Geral
6196;Geral
6200;Geral
6206;Geral
6211;Cível
6215;Execução Fiscal
6405;Geral
6408;Geral
6419;Geral
6430;Geral
6435;Geral
6439;Cível
6442;Cível
6448;Criminal
6456;Cível
6457;Cível
6458;Cível
6466;Geral
6470;Criminal
6471;Criminal
6472;Cível
6473;Cível
6476;Cível
6477;Criminal
6484;Geral
6485;Geral
6490;Geral
6492;Geral
6822;Cível
6824;Criminal
6829;Cível
6830;Cível
6834;Criminal
6841;Geral
6851;Execução Fiscal
6861;Criminal
6865;Cível
6872;Cível
6873;Geral
6877;Geral
6882;Geral
6917;Trabalho
6925;Geral
6931;Trabalho
6934;Cível
6937;Geral
6941;Cível
6947;Cível
6952;Criminal
6965;Geral
6972;Cível
6977;Cível
7006;Cível
7015;Execução Fiscal
7019;Criminal
7033;Geral
7051;Cível
72025;Cível
72867;Geral
74263;Criminal
7784;Cível
7787;Geral
7788;Geral
7789;Geral
7790;Geral
7793;Geral
7795;Geral
7813;Criminal
7825;Geral
7830;Geral
7831;Geral
78322;Fazenda
7887;Cível
7892;Criminal
7895;Geral
81565;Cível
8158;Criminal
8159;Criminal
81606;Juizados Cíveis
81607;Cível
81666;Cível
81672;Criminal
81675;Criminal
8305;Cível
8312;Cível
8314;Cível
8315;Cível
8323;Juizados Cíveis
13149;Geral
13150;Geral
13153;Cível
14104;Criminal
14105;Geral
14114;Geral
16297;Cível
16300;Criminal
16310;Criminal
16322;Cível
16323;Criminal
16324;Cível
16509;Cível
16511;Criminal
16547;Geral
17359;Geral
17362;Geral
17364;Criminal
18315;Cível
21759;Cível
21898;Cível
21899;Criminal
21900;Criminal
21901;Cível
21902;Cível
21903;Geral
21904;Criminal
21905;Cível
21906;Cível
21907;Cível
21909;Geral
21910;Cível
21911;Cível
21912;Geral
21913;Cível
21914;Cível
21916;Cível
4513;Cível
5365;Cível
5368;Cível
5369;Cível
5370;Cível
5371;Cível
5375;Cível
5377;Cível
5391;Cível
5392;Cível
5395;Cível
5546;Cível
5549;Cível
5552;Cível
5556;Cível
5559;Cível
5565;Criminal
5567;Criminal
5569;Criminal
5575;Criminal
5580;Criminal
5586;Criminal
5599;Geral
5606;Geral
5609;Geral
5635;Geral
5644;Fazenda
5646;Fazenda
5648;Fazenda
5651;Fazenda
5656;Fazenda
5659;Fazenda
5660;Execução Fiscal
5664;Execução Fiscal
5674;Cível
5679;Cível
5684;Cível
5685;Cível
5688;Cível
6006;Cível
6007;Geral
6009;Criminal
6010;Criminal
6011;Criminal
6013;Criminal
6014;Geral
6015;Geral
6017;Geral
6029;Geral
6040;Cível
6042;Geral
6043;Cível
6044;Geral
6047;Geral
6048;Trabalho
6051;Criminal
6052;Cível
6054;Execução Fiscal
6055;Execução Fiscal
6057;Cível
6059;Criminal
6060;Criminal
6062;Geral
6070;Geral
6109;Geral
6110;Geral
6113;Geral
6114;Geral
6118;Geral
6119;Geral
6126;Geral
6130;Cível
6131;Criminal
6134;Geral
6136;Geral
6137;Geral
6139;Geral
6140;Criminal
6141;Geral
6142;Geral
6143;Geral
6146;Geral
6148;Geral
6149;Cível
6152;Criminal
6153;Criminal
6156;Criminal
6158;Criminal
6161;Geral
6163;Geral
6168;Cível
